species,seed,property,coefficient,spearman,r2,mae,spearman_ci_lo,spearman_ci_hi
e_coli,6,helix_propensity,1,0.7873911595336776,0.6635244565135463,0.06828789862126505,0.7552390634642663,0.8150493390824918
e_coli,6,helix_propensity,2,0.7276133660913191,0.5624631089148979,0.07926789645860555,0.6887701052344987,0.7607411642333777
e_coli,6,helix_propensity,3,0.6839386982258187,0.5068866528315086,0.08247087298174312,0.637505273208648,0.7255489599579052
e_coli,6,hydrophobic_moment,0,0.8546063178404187,0.7649397449664791,0.19231759566595164,0.8310101276390243,0.8759270936867533
e_coli,6,hydrophobic_moment,1,0.7355495385270862,0.5666958566938778,0.26066662876378044,0.6954200541020183,0.7729266200219792
e_coli,6,hydrophobic_moment,2,0.7045072057568569,0.5421414995360327,0.27298283375247245,0.6596067101718278,0.7498390808413942
e_coli,6,hydrophobic_moment,3,0.5994516725128258,0.4070262237267135,0.3161257938466858,0.5445515652164329,0.645988062251951
e_coli,7,net_charge,0,0.9604773110973231,0.9349048497468737,0.41010706451556883,0.9517054588626889,0.9666917238920617
e_coli,7,net_charge,1,0.8864066927415658,0.792614833939742,0.6954497028403883,0.865711078200901,0.9043064788597429
e_coli,7,net_charge,2,0.8627592795282616,0.7422186901376349,0.7918348685612859,0.8388007312428334,0.8815429916882339
e_coli,7,net_charge,3,0.785533397792952,0.6526466664414649,0.9008825279226281,0.7486647915550012,0.8161930637548603
e_coli,7,charge_density,0,0.9732586494696319,0.9522705353901569,0.02255429444772019,0.9679064721807722,0.976961854057523
e_coli,7,charge_density,1,0.9003847772651662,0.8191572999783243,0.04370193783998599,0.8804854152653453,0.9148538636298296
e_coli,7,charge_density,2,0.8547330661758767,0.7744764598185833,0.04942405162506942,0.82631448870177,0.8773374281833516
e_coli,7,charge_density,3,0.817070739945063,0.7175790505622022,0.05414349252399223,0.7847021700438509,0.8458744839777275
e_coli,7,pI,0,0.8773089379293895,0.7369023684097856,0.5000133246487057,0.854318670280121,0.8974107644251028
e_coli,7,pI,1,0.8197776835039433,0.6019314256914464,0.6008662756874049,0.7903906298161321,0.845161565735467
e_coli,7,pI,2,0.7893178184307994,0.5783160592972207,0.6148739063757127,0.7539513893530329,0.8195285524382483
e_coli,7,pI,3,0.7412813485638574,0.4809042614497744,0.6540779158191039,0.697085705155956,0.780277182892213
e_coli,7,mean_hydrophobicity,0,0.9647228337654302,0.9501915401588744,0.1646276218663822,0.956958325280468,0.970672601275067
e_coli,7,mean_hydrophobicity,1,0.8836454038655224,0.8120716966930382,0.32174601187598173,0.8615810220294845,0.9015010049357232
e_coli,7,mean_hydrophobicity,2,0.8430084288542169,0.763019844096429,0.3609831679689496,0.8138578259940845,0.8674165060101825
e_coli,7,mean_hydrophobicity,3,0.8483358081089594,0.7606697729372107,0.35949443147640475,0.8232995557611589,0.8697148763463529
e_coli,7,hydrophilic_fraction,0,0.9453608772300519,0.9075940648993018,0.028752543209508118,0.9357143065380371,0.953819808821481
e_coli,7,hydrophilic_fraction,1,0.8816808160102164,0.7843729816049034,0.04182231125408816,0.8623798775973657,0.8986172012503564
e_coli,7,hydrophilic_fraction,2,0.8557602226840035,0.7400350765391086,0.04638258921081508,0.8308905615889243,0.8782419631998534
e_coli,7,hydrophilic_fraction,3,0.8093193451321623,0.6641453035098015,0.05299608151778862,0.7755177518806169,0.838683911536664
e_coli,7,helix_propensity,0,0.9448234520540671,0.912067949549555,0.03434467081629018,0.9342450624399001,0.952897337866585
e_coli,7,helix_propensity,1,0.80089183364969,0.6888491929922353,0.06483255897130283,0.7669059314114933,0.8303125980368431
e_coli,7,helix_propensity,2,0.7195640880712643,0.5604499139399675,0.07686590379415863,0.6758194160309873,0.7584837993573118
e_coli,7,helix_propensity,3,0.6212732203822466,0.43991943042609327,0.0883580890596037,0.5695837372859053,0.669173768552242
e_coli,7,hydrophobic_moment,0,0.7803769454936569,0.6500415396745858,0.23888619737623726,0.7467427383504482,0.8089557682662766
e_coli,7,hydrophobic_moment,1,0.6796336173576143,0.46392928832184044,0.3010797340582457,0.6347151149361757,0.7202374629190578
e_coli,7,hydrophobic_moment,2,0.5960349467128571,0.3588721248088771,0.3179548333872564,0.542448245488167,0.6467363112975469
e_coli,7,hydrophobic_moment,3,0.559410468473613,0.2600332895984989,0.3378517267639624,0.4995533270321134,0.6137404207339396
e_coli,8,net_charge,0,0.9438169664662773,0.9175199361874816,0.45619404580270784,0.9339258666999815,0.952158178244962
e_coli,8,net_charge,1,0.8812129164004174,0.8063007104354651,0.7076697066617246,0.8591254027886418,0.8970732015095787
e_coli,8,net_charge,2,0.8352366790412682,0.7080148973282108,0.8242206699577077,0.8071289785822621,0.8582030374562316
e_coli,8,net_charge,3,0.7561669759689406,0.6079850833326212,0.9678415881510365,0.7173582633003714,0.7924405501671475
