species,seed,property,dc_spearman,best_non_dc_spearman,dc_preference,dc_ci_excludes_zero,dc_beats_non_dc
e_coli,7,hydrophobic_moment,0.7803769454936569,0.6796336173576143,0.10074332813604259,True,True
e_coli,7,mean_hydrophobicity,0.9647228337654302,0.8836454038655224,0.08107742989990785,True,True
e_coli,7,net_charge,0.9604773110973231,0.8864066927415658,0.07407061835575734,True,True
e_coli,7,pI,0.8773089379293895,0.8197776835039433,0.057531254425446154,True,True
e_coli,8,charge_density,0.962315959017536,0.8517325337489426,0.11058342526859333,True,True
e_coli,8,helix_propensity,0.9470256769406205,0.7613549715957821,0.18567070534483832,True,True
e_coli,8,hydrophilic_fraction,0.9592813188615189,0.8718550303404825,0.0874262885210364,True,True
e_coli,8,hydrophobic_moment,0.7478752397769286,0.7167080558145351,0.031167183962393485,True,True
e_coli,8,mean_hydrophobicity,0.9750819238643172,0.8824584926423302,0.09262343122198702,True,True
e_coli,8,net_charge,0.9438169664662773,0.8812129164004174,0.0626040500658599,True,True
e_coli,8,pI,0.8695854760533692,0.8457934620449004,0.023792014008468865,True,True
e_coli,9,charge_density,0.9619570757971367,0.8746256301630413,0.08733144563409545,True,True
e_coli,9,helix_propensity,0.947962532382347,0.79549178984972,0.15247074253262693,True,True
e_coli,9,hydrophilic_fraction,0.9416589190931046,0.8470075292425674,0.09465138985053723,True,True
e_coli,9,hydrophobic_moment,0.8474366173872406,0.7891631977915471,0.05827341959569354,True,True
e_coli,9,mean_hydrophobicity,0.9658937199014038,0.8617205864134075,0.10417313348799628,True,True
e_coli,9,net_charge,0.9383277180428635,0.8793615118000263,0.058966206242837216,True,True
e_coli,9,pI,0.8617989958885321,0.7802899901848728,0.08150900570365938,True,True
s_aureus,0,charge_density,0.9490359934828617,0.8555470307721128,0.09348896271074891,True,True
s_aureus,0,helix_propensity,0.9385434932262734,0.7441534641032104,0.19439002912306302,True,True
s_aureus,0,hydrophilic_fraction,0.9359992160097295,0.831179485239456,0.10481973077027351,True,True
s_aureus,0,hydrophobic_moment,0.8960338937475318,0.8551447335545244,0.04088916019300748,True,True
s_aureus,0,mean_hydrophobicity,0.9526811789643974,0.8536419321419543,0.09903924682244314,True,True
s_aureus,0,net_charge,0.9203980703025607,0.8374193124137368,0.08297875788882392,True,True
s_aureus,0,pI,0.8595664251919048,0.7439783702544276,0.11558805493747726,True,True
s_aureus,1,charge_density,0.9617876265558835,0.8685641822575617,0.09322344429832174,True,True
s_aureus,1,helix_propensity,0.9435746589316115,0.7937653126911336,0.14980934624047793,True,True
